As_of_date,As_of_time,Number_of_confirmed_cases,Number_of_ruled_out_cases,Number_of_cases_still_hospitalised_for_investigation,Number_of_cases_fulfilling_the_reporting_criteria,Number_of_death_cases,Number_of_discharge_cases,Number_of_probable_cases,Number_of_hospitalised_cases_in_critical_condition,Number_of_positive_case_NC,Number_of_positive_case_RAT
2020-02-25,12:00,85,1566,112,1763,2,18,0,,,
2020-02-26,12:00,91,1601,128,1820,2,24,0,,,
2020-02-27,12:00,92,1663,134,1889,2,26,0,,,
2020-02-28,12:00,94,1718,124,1936,2,30,0,,,
2020-02-29,12:00,94,1770,120,1984,2,33,0,,,
2020-03-01,12:00,97,1805,129,2033,2,36,2,,,
2020-03-02,12:00,99,1853,135,2088,2,36,1,,,
2020-03-03,12:00,100,1898,136,2135,2,37,1,,,
2020-03-04,12:00,103,1940,134,2178,2,43,1,,,
2020-03-05,12:00,104,1979,127,2211,2,46,1,,,
2020-03-06,12:00,106,2011,131,2249,2,51,1,,,
2020-03-07,12:00,108,2055,117,2281,2,55,1,,,
2020-03-08,12:00,113,2079,113,2306,3,59,1,,,
2020-03-09,12:00,115,2096,134,2346,3,60,1,,,
2020-03-10,12:00,117,2132,136,2386,3,65,1,,,
2020-03-11,12:00,129,2156,146,2432,3,67,1,,,
2020-03-12,12:00,130,2190,155,2476,3,75,1,,,
2020-03-13,12:00,132,2234,156,2523,4,78,1,,,
2020-03-14,12:00,139,2288,153,2581,4,81,1,,,
2020-03-15,12:00,147,2330,167,2645,4,84,1,,,
2020-03-16,12:00,156,2395,174,2726,4,88,1,,,
2020-03-17,12:00,164,2451,270,2886,4,92,1,,,
2020-03-18,12:00,184,2636,238,3059,4,95,1,,,
2020-03-19,12:00,206,2752,362,3321,4,98,1,,,
2020-03-20,12:00,250,3046,291,3588,4,98,1,,,
2020-03-21,16:00,273,3248,311,3831,4,100,1,,,
2020-03-22,16:00,317,3327,464,4096,4,100,1,,,
2020-03-23,16:00,351,3647,310,4309,4,101,1,,,
2020-03-24,16:00,382,3881,293,4557,4,102,1,,,
2020-03-25,16:00,407,4054,301,4756,4,106,1,,,
2020-03-26,16:00,452,4251,262,4966,4,110,1,,,
2020-03-27,16:00,494,4573,224,5292,4,111,1,,,
2020-03-28,12:00,526,4834,233,5594,4,112,1,,,
2020-03-29,12:00,577,5023,197,5798,4,118,1,,,
2020-03-30,12:00,623,5181,184,5989,4,124,1,,,
2020-03-31,12:00,680,5393,197,6271,4,128,1,,,
2020-04-01,12:00,737,5564,149,6451,4,147,1,,,
2020-04-02,12:00,784,5671,141,6597,4,154,1,,,
