As_of_date,As_of_time,Number_of_confirmed_cases,Number_of_ruled_out_cases,Number_of_cases_still_hospitalised_for_investigation,Number_of_cases_fulfilling_the_reporting_criteria,Number_of_death_cases,Number_of_discharge_cases,Number_of_probable_cases,Number_of_hospitalised_cases_in_critical_condition,Number_of_positive_case_NC,Number_of_positive_case_RAT
2020-01-08,12:00,0,21,17,38,0,0,0,,,
2020-01-09,12:00,0,25,23,48,0,0,0,,,
2020-01-10,12:00,0,31,23,54,0,0,0,,,
2020-01-11,12:00,0,46,15,61,0,0,0,,,
2020-01-12,12:00,0,51,16,67,0,0,0,,,
2020-01-13,12:00,0,56,12,68,0,0,0,,,
2020-01-14,12:00,0,60,11,71,0,0,0,,,
2020-01-15,12:00,0,66,10,76,0,0,0,,,
2020-01-16,12:00,0,71,7,78,0,0,0,,,
2020-01-17,12:00,0,75,6,81,0,0,0,,,
2020-01-18,12:00,0,76,14,90,0,0,0,,,
2020-01-19,12:00,0,80,19,99,0,0,0,,,
2020-01-20,12:00,0,81,25,106,0,0,0,,,
2020-01-21,12:00,0,88,30,118,0,0,0,,,
2020-01-22,12:00,0,97,38,135,0,0,0,,,
2020-01-23,12:00,2,109,65,176,0,0,0,,,
2020-01-24,12:00,5,122,117,244,0,0,0,,,
2020-01-25,12:00,5,163,137,305,0,0,0,,,
2020-01-26,12:00,8,219,155,382,0,0,0,,,
2020-01-27,12:00,8,276,167,451,0,0,0,,,
2020-01-28,12:00,8,332,189,529,0,0,0,,,
2020-01-29,12:00,10,416,159,585,0,0,0,,,
2020-01-30,23:59,12,478,191,680,0,0,0,,,
2020-01-31,12:00,13,550,203,766,0,0,0,,,
2020-02-01,23:59,14,634,188,835,0,0,0,,,
2020-02-02,12:00,15,699,168,882,0,0,0,,,
2020-02-03,12:00,15,744,159,918,0,0,0,,,
2020-02-04,23:59,18,808,157,982,1,0,0,,,
2020-02-05,12:00,21,868,154,1043,1,0,0,,,
2020-02-06,23:59,24,920,158,1100,1,0,0,,,
2020-02-07,23:59,26,975,158,1158,1,0,0,,,
2020-02-08,12:00,26,1035,141,1202,1,0,0,,,
2020-02-09,12:00,36,1066,129,1231,1,0,0,,,
2020-02-10,23:59,42,1089,143,1273,1,0,0,,,
2020-02-11,23:59,49,1123,154,1325,1,0,0,,,
2020-02-12,12:00,50,1164,170,1384,1,1,0,,,
2020-02-13,12:00,53,1222,161,1436,1,1,0,,,
2020-02-14,12:00,56,1274,142,1472,1,1,0,,,
2020-02-15,12:00,56,1312,149,1517,1,1,0,,,
2020-02-16,12:00,57,1341,136,1534,1,2,0,,,
2020-02-17,12:00,60,1366,123,1549,1,2,0,,,
2020-02-18,12:00,61,1384,133,1578,1,4,0,,,
2020-02-19,12:00,63,1417,129,1609,2,5,0,,,
2020-02-20,12:00,67,1448,113,1628,2,5,0,,,
2020-02-21,12:00,68,1472,111,1652,2,6,1,,,
2020-02-22,12:00,68,1494,108,1671,2,11,1,,,
2020-02-23,12:00,74,1510,119,1703,2,12,0,,,
2020-02-24,12:00,77,1538,116,1731,2,19,0,,,
